iter	RMSE
349	54.75891966
350	54.64377991
351	54.54813536
352	54.47895579
353	54.45874711
354	54.36196632
355	54.30899358
356	54.27916784
357	54.25596025
358	54.15646009
359	54.08775554
360	54.01652929
361	53.94869745
362	53.92316119
363	53.86657586
364	53.82054159
365	53.76990483
366	53.71064771
367	53.64544438
368	53.57118196
369	53.52398256
370	53.45827421
371	53.38836355
372	53.33098653
373	53.29096912
374	53.26972324
375	53.22396583
376	53.13974647
377	53.09389816
378	53.07571941
379	53.06234926
380	52.98081477
381	52.89532173
382	52.85338601
383	52.80794822
384	52.73179219
385	52.7194224
386	52.66492262
387	52.61167908
388	52.52871104
389	52.48667221
390	52.43392237
391	52.37382734
392	52.33800962
